_source_file,time_raw,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,991901,365726,1580984.0,MOD_ROCKET_SPLASH,bad,False,0.17,0.14,0.1659059942096124,0.09329015148032176,00:10:27.004,sal,,MOD_ROCKET_SPLASH,29.47364616394043,0.03307928889989853,29.784513473510742,902.56103515625,184.0,352,29,632,902.0,528.0,586.0,,,841.0,14.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1025000,365726,1580984.0,MOD_TRIP_MINE_SPLASH,bad,True,,,,,00:11:00.103,sal,,MOD_TRIP_MINE_SPLASH,56.10844802856445,0.24289371073246002,114.40814208984375,3466.913330078125,76.0,199,73,209,398.0,132.0,648.0,,,83.0,28.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1056581,365726,1580984.0,MOD_TRIP_MINE_SPLASH,bad,False,,,,,00:11:31.684,sal,,MOD_TRIP_MINE_SPLASH,0.0,0.0,2.4309346675872803,73.66468811035156,215.0,274,437,423,628.0,304.0,379.0,,,505.0,22.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1148156,365726,1580984.0,MOD_ROCKET_SPLASH,bad,True,0.26666666666666666,0.3333333333333333,0.09049535786989428,0.09383741959594208,00:13:03.259,sal,,MOD_ROCKET_SPLASH,104.70828247070312,0.1762765645980835,107.06092071533203,3244.270263671875,140.0,353,69,114,480.0,515.0,259.0,,,454.0,11.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1173962,365726,1580984.0,MOD_BRYAR_PISTOL_ALT,bad,False,0.35,0.42,0.07840325008953544,0.45989111991528275,00:13:29.065,sal,davis,MOD_BRYAR_PISTOL_ALT,24.409143447875977,0.028448885306715965,26.756166458129883,810.7929077148438,873.0,792,64,774,616.0,17.0,349.0,924.0,-2.0,71.0,0.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1206962,365726,1580984.0,MOD_TRIP_MINE_SPLASH,bad,False,,,,,00:14:02.065,sal,sid,MOD_TRIP_MINE_SPLASH,4.8682732582092285,0.0491744764149189,83.55529022216797,2531.978515625,354.0,74,456,610,181.0,851.0,421.0,,,244.0,239.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1216235,365726,1580984.0,MOD_SABER,bad,False,,,,,00:14:11.338,sal,,MOD_SABER,0.0,0.0,5.967440128326416,180.83151245117188,35.0,144,0,48,110.0,0.0,124.0,,,1.0,0.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1237025,365726,1580984.0,MOD_REPEATER_ALT,bad,False,0.18333333333333332,0.2633333333333333,0.016372338173183277,0.013040244792241012,00:14:32.128,sal,,MOD_REPEATER_ALT,23.096513748168945,0.058324530720710754,34.243160247802734,1037.6715087890625,214.0,587,118,496,651.0,226.0,502.0,330.0,-18.0,82.0,14.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1260884,365726,1580984.0,MOD_REPEATER_ALT_SPLASH,bad,False,0.2866666666666667,0.2966666666666667,0.1788570582190443,0.23114289979790603,00:14:55.987,sal,sid,MOD_REPEATER_ALT_SPLASH,2.1927084922790527,0.02214857004582882,8.995333671569824,272.58587646484375,201.0,455,39,417,383.0,22.0,323.0,,,16.0,4.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1278968,365726,1580984.0,MOD_ROCKET_SPLASH,bad,False,0.11,0.19,0.3554969674344675,0.13024417859511217,00:15:14.071,sal,,MOD_ROCKET_SPLASH,0.0,0.0,9.098994255065918,275.72711181640625,434.0,313,0,330,539.0,85.0,474.0,,,149.0,0.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1309625,365726,1580984.0,MOD_TRIP_MINE_SPLASH,bad,True,,,,,00:15:44.728,sal,sid,MOD_TRIP_MINE_SPLASH,0.0,0.0,59.409542083740234,1800.2891845703125,225.0,855,262,982,71.0,75.0,450.0,,,1.0,0.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1356155,365726,1580984.0,MOD_ROCKET_SPLASH,bad,False,0.23333333333333334,0.2,0.2779841601163341,0.19247088801604967,00:16:31.258,sal,sid,MOD_ROCKET_SPLASH,0.0,0.0,0.0,0.0,362.0,267,0,272,500.0,145.0,413.0,,,394.0,88.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1388792,365726,1580984.0,MOD_FLECHETTE,bad,False,,,,,00:17:03.895,sal,,MOD_FLECHETTE,20.37637710571289,0.023748692125082016,52.457942962646484,1589.6346435546875,361.0,608,262,544,712.0,272.0,655.0,99.0,-4.0,138.0,36.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1392026,365726,1580984.0,MOD_FLECHETTE_ALT_SPLASH,bad,False,0.22666666666666666,0.2633333333333333,0.13778047701681376,0.20251292895464665,00:17:07.129,sal,sal,MOD_FLECHETTE_ALT_SPLASH,0.0,0.0,30.955102920532227,938.033447265625,0.0,487,32,356,487.0,32.0,356.0,,,0.0,0.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1403246,365726,1580984.0,MOD_BRYAR_PISTOL_ALT,bad,False,0.25333333333333335,0.23666666666666666,0.20290054030034557,0.024913382712886952,00:17:18.349,sal,,MOD_BRYAR_PISTOL_ALT,0.0,0.0,76.30767059326172,2312.353759765625,113.0,531,104,494,779.0,76.0,389.0,66.0,-27.0,80.0,0.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1420637,365726,1580984.0,MOD_DISRUPTOR,bad,False,,,,,00:17:35.740,sal,,MOD_DISRUPTOR,0.0,0.0,1.1213188171386719,33.9793586730957,1476.0,551,41,399,819.0,179.0,714.0,,,244.0,56.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1436675,365726,1580984.0,MOD_DISRUPTOR_SNIPER,bad,False,,,,,00:17:51.778,sal,,MOD_DISRUPTOR_SNIPER,0.0,0.0,9.97248363494873,302.19647216796875,532.0,0,0,174,540.0,201.0,516.0,,,218.0,96.0
0 sal mpctf_kejim 2014-05-27_01-38-21.dm_26.dm_meta,1502807,365726,1580984.0,MOD_ROCKET,bad,True,0.04,0.08333333333333333,0.06864809476562521,0.0042395143373668495,00:18:57.910,sal,,MOD_ROCKET,44.67253112792969,0.15041255950927734,148.96658325195312,4514.138671875,99.0,329,53,480,520.0,99.0,534.0,99.0,-11.0,52.0,0.0
0337.dm_26.dm_meta,58314500,58099600,,MOD_DISRUPTOR_SNIPER,bad,False,,,,,00:03:36.000,apache,^4(&),MOD_DISRUPTOR_SNIPER,3.012343168258667,0.012049372307956219,3.267878532409668,99.02661895751953,1884.0,0,0,175,374.0,282.0,337.0,,,340.0,26.0
0337.dm_26.dm_meta,58470200,58099600,,MOD_TRIP_MINE_SPLASH,bad,False,,,,,00:06:11.700,apache,^4(&),MOD_TRIP_MINE_SPLASH,6.291975021362305,0.017977071925997734,9.71528434753418,294.4025573730469,324.0,312,125,317,441.0,4.0,436.0,,,86.0,32.0
0337.dm_26.dm_meta,58825950,58099600,,MOD_ROCKET,bad,True,0.023333333333333334,0.043333333333333335,0.012425987474287303,0.0068654704062287705,00:12:07.450,apache,^3^^0shulba^4*,MOD_ROCKET,26.680953979492188,0.5336191058158875,35.943206787109375,1089.1881103515625,79.0,274,246,189,479.0,234.0,363.0,50.0,-33.0,152.0,15.0
0337.dm_26.dm_meta,59086250,58099600,,MOD_REPEATER_ALT,bad,False,0.32666666666666666,0.47,0.010352167995549623,0.03422458889764743,00:16:27.750,apache,^4(@),MOD_REPEATER_ALT,1.2567826509475708,0.025135653093457222,4.1583251953125,126.00985717773438,120.0,266,180,299,234.0,157.0,254.0,100.0,-26.0,33.0,0.0
0515-awb is teh xD.dm_26.dm_meta,59790160,59750280,,MOD_FLECHETTE_ALT_SPLASH,bad,False,0.32,0.29,0.4066608830891212,0.4376002373657891,00:00:40.800,Rosh,,MOD_FLECHETTE_ALT_SPLASH,8.577195167541504,0.042885974049568176,9.954239845275879,301.6436462402344,694.0,344,73,353,140.0,33.0,385.0,,,16.0,0.0
