_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_nb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
2020-04-13 ns_streets 2v2.dm_26.dm_meta,1143421,0:19:03,10828,1214668,MOD_BLASTER,bad,FALSE,,,,,,0:19:03,^3XEN_CRYPT,^7ariza,MOD_BLASTER,1.506950259,0.00652359426,4.432169914,134.3081818,778,240,89,193,64,2,38,,,0,0
2020-04-13 ns_streets 2v2.dm_26.dm_meta,1155301,0:19:15,10828,1214668,MOD_BLASTER,bad,FALSE,,,,,,0:19:15,^3XEN_CRYPT,^7ariza,MOD_BLASTER,0.6304467916,0.002388056135,1.690011859,51.21248245,42,0,0,0,128,21,175,,,3,0
2020-04-19 dantooine 4v4.dm_26.dm_meta,1249124,0:17:19,211241,,MOD_BLASTER,bad,FALSE,,,,,,0:17:19,^3Xen_Crypt,^3<^7pro^4*,MOD_BLASTER,39.43362045,0.1707083136,74.71980286,2264.236572,114,450,45,306,359,62,293,,,184,86
2020-04-19 telti 4v4 (2).dm_26.dm_meta,1654500,0:05:19,1336248,2220978,MOD_BLASTER,bad,TRUE,,,,,,0:05:19,^3Xen_Crypt,^7flower,MOD_BLASTER,24.47031975,0.3707624078,34.81872177,1055.112793,83,238,0,295,261,9,223,,,11,0
2020-04-19 telti 4v4.dm_26.dm_meta,1062905,0:15:44,120128,1335089,MOD_BLASTER,bad,FALSE,,,,,,0:15:44,^3Xen_Crypt,^7jaw4,MOD_BLASTER,0,0,18.73575783,567.7502441,220,370,0,541,409,72,394,,,386,235
2020-04-19 telti 4v4.dm_26.dm_meta,1089866,0:16:11,120128,1335089,MOD_BLASTER,bad,FALSE,,,,,,0:16:11,^3Xen_Crypt,^7Padawan,MOD_BLASTER,6.976902485,0.1057106405,21.63403893,655.5769653,414,250,0,249,141,4,355,,,3,0
2020-05-14 salliche 4v4.dm_26.dm_meta,429276,0:03:49,201906,1416207,MOD_BLASTER,bad,FALSE,,,,,,0:03:49,^3Xen_Crypt,^7(fake) hood,MOD_BLASTER,19.40455627,0.1470042169,36.42020035,1103.642456,135,506,378,519,502,328,440,,,36,7
2020-05-23 aeten 4v4.dm_26.dm_meta,1321658,0:01:46,1217378,2367362,MOD_BLASTER,bad,FALSE,,,,,,0:01:46,^3Xen_Crypt,^7Padawan,MOD_BLASTER,2.532032728,0.01096118055,7.903764248,239.5080109,417,148,0,149,104,1,215,,,0,0
2020-05-23 aeten 4v4.dm_26.dm_meta,1362776,0:02:27,1217378,2367362,MOD_BLASTER,bad,FALSE,,,,,,0:02:27,^3Xen_Crypt,^7padawan,MOD_BLASTER,22.38533974,0.08479295671,49.82286835,1509.783936,90,321,0,378,456,7,375,,,32,0
2020-05-23 aeten 4v4.dm_26.dm_meta,1400495,0:03:04,1217378,2367362,MOD_BLASTER,bad,FALSE,,,,,,0:03:04,^3Xen_Crypt,^7padawan,MOD_BLASTER,3.57435751,0.02707846649,19.37051201,586.9852295,414,291,327,306,210,15,149,,,16,1
2020-07-19 dantooine 2v2 (2).dm_26.dm_meta,10057978,0:03:43,9836152,10793152,MOD_BLASTER,bad,FALSE,,,,,,0:03:43,^7xen,^7serk,MOD_BLASTER,0,0,18.6514473,565.1953735,238,319,0,298,182,14,165,,,5,0
2020-08-02 dantooine 4v4.dm_26.dm_meta,1196885,0:15:26,271763,1486625,MOD_BLASTER,bad,FALSE,,,,,,0:15:26,^7xen,^7maybepickableifneed,MOD_BLASTER,8.133834839,0.04929596931,46.68531036,1414.706421,182,481,0,309,397,349,320,,,109,69
2020-08-04 dantooine 4v4 (2).dm_26.dm_meta,1672547,0:08:19,1174742,2389472,MOD_BLASTER,bad,FALSE,,,,,,0:08:19,^7??,^0<pro*,MOD_BLASTER,0,0,9.310025215,282.1219788,237,447,0,414,639,137,567,,,233,71
2020-08-04 dantooine 4v4 (2).dm_26.dm_meta,2292254,0:18:39,1174742,2389472,MOD_BLASTER,bad,TRUE,,,,,,0:18:39,^7??,^7Seaal,MOD_BLASTER,54.42986298,0.2356271148,91.40375519,2769.810791,79,290,0,356,144,12,195,,,2,0
