_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,human_time,attacker_name,target_name,mod_name,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance
2018-06-09 talay 4v4 (2).dm_26.dm_meta,1999317,0:11:44,1296549,2206821,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6933333333,0.6533333333,0.950703563,0.9867451358,0:11:44,^7xenspec,,MOD_DISRUPTOR_SNIPER,2.742733955,0.08311314881,7.599049568,230.274231,984,203,376,284,88,0,218,,,0,0
2018-06-17 nelvaan 4v4.dm_26.dm_meta,1216590,0:09:48,629124,,MOD_DISRUPTOR,good,FALSE,0.9233333333,0.98,1,0.9999755344,0:09:48,^3Xen_Lixo,^1^^7Seef^1.,MOD_DISRUPTOR,0,0,0.312290132,9.463336945,1832,891,266,958,1041,271,943,,,267,55
2018-06-22 carratos 4v4.dm_26.dm_meta,1406175,0:19:59,208407,1423335,MOD_DISRUPTOR_SNIPER,good,FALSE,0.5866666667,0.7066666667,0.5293224692,0.9982968606,0:19:59,^3Xen_Crypt,^0Master of Nothing,MOD_DISRUPTOR_SNIPER,0.3161791861,0.00958118774,5.208956242,157.8471527,420,0,0,5,0,0,526,,,0,0
2018-06-23 ctf4 4v4.dm_26.dm_meta,504116,0:06:25,120590,798608,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6166666667,0.68,0.5284746455,0.97065541,0:06:25,^3Xen_Crypt,^7-=^1redstar^7=-,MOD_DISRUPTOR_SNIPER,0,0,19.07055664,577.8956299,398,0,0,141,489,155,421,,,81,20
2018-06-29 talay 4v4.dm_26.dm_meta,1150949,0:17:00,131447,1346540,MOD_DISRUPTOR_SNIPER,good,FALSE,0.8133333333,0.7533333333,0.7925643523,0.9991626328,0:17:00,^3Xen_Crypt,^1^^7Seef^1.,MOD_DISRUPTOR_SNIPER,1.278031588,0.0387282297,5.283184528,160.0964966,562,251,231,311,286,334,306,,,466,416
2018-07-19 reboam 5v5 1448.dm_26.dm_meta,849065,0:09:59,251006,,MOD_DISRUPTOR_SNIPER,good,FALSE,0.5066666667,0.54,0.8377199209,0.8531816072,0:09:59,^3Xen_Crypt,^7jawa,MOD_DISRUPTOR_SNIPER,0,0,0.04913235456,1.488859296,1180,0,0,127,593,311,529,,,1738,1690
2018-09-21 kejim 2v2.dm_26.dm_meta,35875542,0:10:40,35236200,36221514,MOD_DISRUPTOR_SNIPER,good,FALSE,0.63,0.5733333333,0.8934081883,0.9908548902,0:10:40,^7xenspec,^3L^7G,MOD_DISRUPTOR_SNIPER,0,0,6.043344498,183.1316528,398,123,183,516,304,246,359,,,28,10
2018-12-14 genarius 4v4.dm_26.dm_meta,581893,0:09:42,7099,759829,MOD_DISRUPTOR_SNIPER,good,FALSE,0.5433333333,0.63,0.5262320695,0.9877336998,0:09:42,^3rest,,MOD_DISRUPTOR_SNIPER,0,0,5.579240322,169.0678864,741,0,0,0,0,0,517,,,0,0
2019-06-07 kejim 3v3.dm_26.dm_meta,2731855,0:18:54,2051461,3052384,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6266666667,0.59,0.635821092,0.9911219548,0:18:54,^3Xen_Crypt,^7cydrl^5@^7steam,MOD_DISRUPTOR_SNIPER,0,0,17.35357094,525.8657837,699,0,0,70,837,422,782,,,88,11
2019-06-08 telti 4v4.dm_26.dm_meta,1071089,0:15:50,126761,1337333,MOD_DISRUPTOR_SNIPER,good,FALSE,0.54,0.54,0.8368253482,0.9862263244,0:15:50,^3Xen_Crypt,^1^^2r^0d^2l,MOD_DISRUPTOR_SNIPER,0,0,3.556941509,107.7861099,1126,0,0,101,670,258,616,,,2091,1706
2019-06-08 telti 5v4.dm_26.dm_meta,1413798,0:01:16,1342815,2397330,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6366666667,0.57,0.6944369346,0.9977217762,0:01:16,^3Xen_Crypt,^7Padawn,MOD_DISRUPTOR_SNIPER,0,0,2.598655462,78.74713898,873,106,134,183,90,240,171,,,333,327
2019-06-08 telti 5v4.dm_26.dm_meta,1501545,0:02:44,1342815,2397330,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6033333333,0.6133333333,0.7517906451,0.9943182647,0:02:44,^3Xen_Crypt,^1^^2r^0d^2l,MOD_DISRUPTOR_SNIPER,0,0,42.29858017,1281.775146,254,0,0,82,545,202,516,,,81,19
2019-07-04 nelvaan 2v2 (2).dm_26.dm_meta,5321674,0:08:58,4686292,5768923,MOD_DISRUPTOR_SNIPER,good,FALSE,0.51,0.7,0.7864195859,0.9761225546,0:08:58,^3Xen_Crypt,^7smash,MOD_DISRUPTOR_SNIPER,0,0,20.27069283,614.2634277,179,10,0,0,0,0,711,,,0,0
2020-01-05 kejim 1v1.dm_26.dm_meta,753658,0:12:34,6703,1216054,MOD_DISRUPTOR_SNIPER,good,FALSE,0.89,0.8433333333,0.9712528399,0.9989768901,0:12:34,^3Xen_Crypt,^7flower,MOD_DISRUPTOR_SNIPER,2.483554125,0.0150518436,10.06548691,305.0147705,679,203,332,264,351,278,387,,,771,666
2020-01-11 telti 4v4.dm_26.dm_meta,801285,0:11:09,133530,1347567,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6,0.6533333333,0.715036396,0.9721864867,0:11:09,^3Xen_Crypt,^7enab,MOD_DISRUPTOR_SNIPER,0,0,37.74534607,1143.79834,210,0,0,134,346,283,361,,,221,167
2020-01-18 ctf4 4v4.dm_26.dm_meta,1418224,0:07:07,997177,2206957,MOD_DISRUPTOR,good,FALSE,0.61,0.7633333333,0.9999973852,0.9999755344,0:07:07,^3Xen_Crypt,^1-=cAtA=-,MOD_DISRUPTOR,0,0,10.0598011,304.8424683,1051,815,60,824,173,48,203,,,11,0
2020-01-20 nelvaan 3v3.dm_26.dm_meta,1023569,0:16:07,57989,1272092,MOD_DISRUPTOR_SNIPER,good,FALSE,0.7433333333,0.69,0.9999596016,0.9913582354,0:16:07,^3Xen_Crypt,^7spec,MOD_DISRUPTOR_SNIPER,0,0,10.58234882,320.6772461,708,115,655,370,373,39,373,,,66,12
2020-01-31 kharzet 4v4.dm_26.dm_meta,886887,0:13:16,92115,1347138,MOD_DISRUPTOR_SNIPER,good,FALSE,0.6666666667,0.5866666667,0.5917171998,0.9981447848,0:13:16,^3Xen_Crypt,^5ski,MOD_DISRUPTOR_SNIPER,0,0,8.833706856,267.6880798,243,0,0,191,645,431,588,,,360,216
2020-02-08 ctf4 4v4 1747.dm_26.dm_meta,1202495,0:17:53,131150,1460588,MOD_DISRUPTOR_SNIPER,good,FALSE,0.68,0.5833333333,0.9569285348,0.9937967128,0:17:53,^1S^7upes,^7Isaac Lobo,MOD_DISRUPTOR_SNIPER,0.7555247545,0.007631563116,2.381050587,72.15304565,1356,531,442,556,446,0,672,,,22,0
2020-02-15 ctf4 4v4 (2).dm_26.dm_meta,1707106,0:05:56,1356580,2105053,MOD_DISRUPTOR_SNIPER,good,FALSE,0.7833333333,0.7066666667,0.9547165162,0.9991870548,0:05:56,^3Xen_Crypt,^7Coronvirus-Chan,MOD_DISRUPTOR_SNIPER,1.098110795,0.03327608481,5.059633732,153.3222351,738,520,424,550,132,0,574,,,1,0
2020-02-16 kejim 4v4.dm_26.dm_meta,1549271,0:17:32,432683,1712786,MOD_DISRUPTOR_SNIPER,good,FALSE,0.5166666667,0.54,0.9956990664,0.9907674113,0:17:32,^3Xen_Crypt,^7enab,MOD_DISRUPTOR_SNIPER,0,0,1.908983231,57.84797668,886,0,303,192,0,0,563,,,0,0
