_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,label_ts,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
2020-04-18 manaan 4v4.dm_26.dm_meta,1251071,0:18:50,121976,,MOD_ROCKET,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,2.630560398,0.07971394807,7.865647316,238.352951,4069,399,165,351,599,18,452,2178,-2,41,0,^3Xen_Crypt,^7x
2020-04-19 dantooine 4v4.dm_26.dm_meta,987764,0:12:58,211241,,MOD_REPEATER_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,2.188803673,0.0663273856,12.5295887,379.6845093,875,469,0,536,445,862,458,759,-3,298,269,^3Xen_Crypt,^3<^7pro^4*
2020-05-03 talravin 4v4.dm_26.dm_meta,897847,0:10:21,277810,1492375,MOD_ROCKET,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,11.52678013,0.04989948124,39.18395615,1187.392578,545,601,30,512,931,53,652,1056,5,511,80,^3Xen_Crypt,^7enab
2020-05-11 kharzet 4v4 0535.dm_26.dm_meta,265988,0:01:52,154976,1288163,MOD_REPEATER_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0,0,0,0,542,455,406,565,850,317,489,330,-11,207,58,^3Xen_Crypt,^7M^0er^3c^0e^7r
2020-05-13 paulking 4v4.dm_26.dm_meta,253151,0:00:23,231602,1446200,MOD_ROCKET,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,1.528294563,46.31195831,315,325,54,286,1054,638,584,429,-16,458,237,^3Xen_Crypt,^7lagger
2020-05-14 manaan 4v4.dm_26.dm_meta,806004,0:11:17,129966,877779,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0.4101889431,0.01242996752,8.128927231,246.331131,928,425,0,525,212,221,390,528,54,264,154,^3Xen_Crypt,^7Seaal
2020-05-16 manaan 4v4.dm_26.dm_meta,454063,0:00:21,433999,1373047,MOD_ROCKET,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0,0,3.633178711,110.0963287,400,453,242,403,1057,73,507,660,-8,376,35,^3Xen_Crypt of the Saber,^7notspectator
2020-05-20 kejim 4v4 (2).dm_26.dm_meta,607047,0:06:14,234510,1449405,MOD_REPEATER_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,4.996551514,0.05047021806,73.94947815,2240.893311,384,432,0,542,230,573,364,264,71,208,26,^3Xen_Crypt,^3Pro_Crypt
2020-06-03 kejim 2v2 (3).dm_26.dm_meta,8403911,0:18:54,7270757,8484860,MOD_REPEATER_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,6.852585316,0.06921803206,8.147880554,246.9054718,826,265,283,451,572,89,339,627,9,37,0,^3Xen_Crypt,^7lg
2020-06-03 kejim 2v2.dm_26.dm_meta,6092088,0:15:03,5190561,6144855,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0,0,27.870718,844.5671997,421,431,0,416,746,288,818,231,-2,768,128,^3Xen_Crypt,^7M^0er^6c^0e^7r
2020-06-20 dantooine 4v4.dm_26.dm_meta,968426,0:10:56,314003,1528865,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0.2395044714,0.007257711142,48.0873642,1457.192871,280,848,173,862,925,134,588,165,28,334,26,^3PURPOSE,^4r^7d^4l
2020-07-19 dantooine 2v2 (2).dm_26.dm_meta,9918751,0:01:24,9836152,10793152,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0,0,16.68358612,505.5632324,278,623,23,708,829,269,681,198,-11,565,259,^7xen,^1X'S APOSTLE
2020-09-05 nelvaan 4v4.dm_26.dm_meta,528767,0:04:51,238829,1453724,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,1.236047268,0.009363994002,71.98602295,2181.394531,464,520,59,663,1016,220,548,264,-4,768,21,^7flor_mourner_2,^7lg
2020-09-06 kejim 1v1.dm_26.dm_meta,11660734,0:03:53,11428678,12225298,MOD_REPEATER_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0.9965513945,0.0301985275,3.644895554,110.4513779,860,426,0,428,186,156,443,693,-4,8,0,^7flor_mourner_2,^7lg
2020-09-15 kharzet 4v4.dm_26.dm_meta,1167779,0:17:10,139136,1353998,MOD_ROCKET,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,4.945034504,0.02497492172,16.71648598,506.5601807,572,196,0,413,725,34,570,759,3,185,140,^3Xen_Crypt,^7cocaine addict
4 xenplaying0 mpctf_kejim 2022-02-07_04-14-08.dm_26.dm_meta,780491,0:07:14,346838,1562459,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,0,0,819,453,694,627,655,159,540,363,4,477,67,^7xenplaying0,^7ToM_Crypt
7 Eclipse mpctf_kejim 2015-03-28_21-58-51.dm_26.dm_meta,853718,0:13:17,56702,1272356,MOD_ROCKET,good,FALSE,2025-06-26 0:28:03,,,,,,,,,,,2.733151436,0.002671702299,34.00458527,1030.442017,121,200,62,233,331,122,502,99,-20,20,0,Eclipse,Czar
awb_offense_ctf4_042_smooth.dm_26.dm_meta,26260850,0:02:58,26084050,27285200,MOD_REPEATER_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,8.165121078,0.1633024216,45.97697449,1393.241699,1080,431,178,437,235,105,190,650,7,28,0,^7Khalifa^5_^7aw^5b,Mahdi^5_^7f^5p
ayatollah_vs_nL_ctf4_pov_awb.dm_26.dm_meta,26260850,0:02:58,26084050,27285200,MOD_REPEATER_ALT,good,FALSE,2025-06-25 20:59:48,,,,,,,,,,,8.165121078,0.1633024216,45.97697449,1393.241699,1080,431,178,437,235,105,190,650,7,28,0,^7Khalifa^5_^7aw^5b,Mahdi^5_^7f^5p
ghost_chase_pugtrain_ctf4 (5).dm_26.dm_meta,172690677,0:07:19,172252800,,MOD_ROCKET,good,FALSE,2025-06-25 20:59:48,,,,,,,,,,,0,0,7.541834354,228.5404358,1068,342,0,381,536,157,338,825,30,713,439,^1px^7tensio,^4t^7C^4f^5*^7erin
ghost_chase_pugtrain_ctf4_triplays.dm_26.dm_meta,4814163,0:09:25,4250061,,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-25 20:59:48,,,,,,,,,,,1.940603495,0.007350770757,139.5594025,4229.072754,560,463,0,431,1118,391,611,330,0,339,89,^7g^1h^7o^1s^7t^1`-,^1M^7aule^1D
ghost_chase_pugtrain_ctf4.dm_26.dm_meta,186140598,0:01:02,186079416,187287975,MOD_ROCKET,good,FALSE,2025-06-25 20:59:48,,,,,,,,,,,58.43598175,0.07699075341,64.08799744,1942.060547,682,467,0,433,765,229,311,627,27,499,291,^7g^1h^7o^1s^7t^1`-,^7t^41^7mg^3!^6
ghost_offense_pugforall_dosuun.dm_26.dm_meta,510607350,0:01:30,510518000,,MOD_ROCKET,good,FALSE,2025-06-25 20:59:48,,,,,,,,,,,0,0,0.934871316,28.32943344,2136,622,5,351,254,73,325,2100,-9,99,70,^7g^1h^7o^1s^7t^1`-,^7J^4a^7X^4`
jax_chase_ctf4_010_smooth.dm_26.dm_meta,5169900,0:15:04,4267600,5472950,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0,0,15.14336967,458.8899841,448,545,92,365,942,272,507,350,1,752,28,^4S^7uga ^4R^7ay ^4C^7harles,^7Oct^1a^7ne
jax_chase_ctf4_010_smooth.dm_26.dm_meta,4953850,0:11:28,4267600,5472950,MOD_ROCKET,good,FALSE,2025-06-29 19:54:11,,,,,,,,,,,3.244823694,0.007210719399,23.72853088,719.0463867,748,247,0,302,549,239,536,650,0,627,102,^4S^7uga ^4R^7ay ^4C^7harles,
OVERHALLIA. BRAS_0719_ctf_cairn.dm_26.dm_meta,171311,0:00:13,159134,,MOD_ROCKET,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,7.680113316,0.1163653508,69.2913208,2099.737061,343,147,0,425,645,159,482,33,-5,476,70,^3Xen_Crypt,^3^^7Seef^3.
OVERHALLIA. BRAS_1654_ctf_kejim.dm_26.dm_meta,1158675,0:16:52,147489,,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0.5328369141,0.008073286153,3.436197042,104.127182,961,691,105,695,1345,216,925,957,0,394,47,^3Xen_Crypt,^5ski
xencrypt_1air_2ndairunsure_ctf_telti.dm_26.dm_meta,55050756,0:12:37,55003929,55056894,MOD_ROCKET,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,0,0,1189,416,593,499,1027,33,688,825,14,989,300,^3Xen_Crypt,^2So^7te
