_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,label_ts,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
2018-06-15 talravin 4v4.dm_26.dm_meta,950474,0:13:12,159530,1374623,MOD_ROCKET,good,FALSE,2025-06-29 19:54:11,,,,,,,,,,,0,0,0.1032071859,3.12749052,767,271,0,383,719,306,376,1122,0,364,16,^3Xen_Crypt,^7jawa
2018-06-28 talravin 4v4 0609.dm_26.dm_meta,616155,0:06:02,254706,1469568,MOD_ROCKET,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,1.552224636,0.04703710973,6.151600361,186.4121399,1087,731,275,637,727,163,556,1584,1,389,66,^3Xen_Crypt,^7jawa
2018-07-27 talay 4v4.dm_26.dm_meta,1119079,0:14:24,256492,1471354,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 19:15:55,,,,,,,,,,,0,0,9.900909424,300.0275574,473,841,267,863,405,161,627,231,-6,299,65,^3Xen_Crypt,^7nero
2018-08-15 kothis 4v4.dm_26.dm_meta,837746,0:12:32,87194,1302287,MOD_REPEATER_ALT,good,FALSE,2025-06-29 19:15:55,,,,,,,,,,,0,0,0.04943847656,1.498135686,523,500,514,582,715,410,517,396,-19,184,78,^3Xen_Crypt,^1^^7Seef^1.
2018-08-17 talravin 4v4.dm_26.dm_meta,600183,0:08:37,84096,1425843,MOD_ROCKET,good,FALSE,2025-06-29 19:15:55,,,,,,,,,,,0,0,0,0,829,470,88,433,743,16,434,858,-2,49,0,^3Xen_Crypt,^5THE EVERRAPING
2018-08-19 nelvaan 4v4.dm_26.dm_meta,1003773,0:13:49,175440,,MOD_ROCKET,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0,0,6.820176125,206.6720123,398,226,249,283,1111,81,258,33,4,328,0,^3Xen_Crypt,
2018-09-01 salliche 4v4.dm_26.dm_meta,200120,0:00:34,166823,1381025,MOD_ROCKET,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,20.6132431,0.0892348215,70.07478333,2123.478271,418,179,332,223,353,244,421,297,54,571,343,^3Xen_Crypt,^7M^0er^6c^0e^7r LG?
2018-09-01 salliche 4v4.dm_26.dm_meta,230942,0:01:05,166823,1381025,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 19:15:55,,,,,,,,,,,0,0,17.66067886,535.1721191,373,715,84,698,1045,467,662,363,-8,322,55,^3Xen_Crypt,^7M^0er^6c^0e^7r LG?
2018-11-11 talay 4v4.dm_26.dm_meta,1349716,0:19:28,182968,1398061,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 19:54:11,,,,,,,,,,,0,0,1.360021353,41.21276855,833,434,242,390,159,235,545,462,11,81,26,^3Xen_Crypt,
2018-11-30 kharzet 4v4.dm_26.dm_meta,1022348,0:15:55,68087,1283147,MOD_ROCKET,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0.271897763,0.008239326067,12.4116497,376.1105957,830,260,0,543,520,184,250,693,24,412,70,^3mercer FAN N2,^7JKA POLICE
2018-12-02 NELVAAN 4v4.dm_26.dm_meta,586154,0:09:17,30368,,MOD_ROCKET,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0,0,2.594989538,78.63604736,342,445,0,551,714,134,513,495,-18,943,567,^3Xen_Crypt,^5ski
2018-12-14 ctf4 4v4 (2).dm_26.dm_meta,1292787,0:13:40,474222,1689282,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,1.088506222,0.03298503533,8.543544769,258.8952942,642,156,19,884,628,204,622,825,-14,460,49,^3rest,^7enab
2019-01-10 kejim 4v4 0513.dm_26.dm_meta,564679,0:04:56,269230,1514089,MOD_ROCKET,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,0,0,883,0,0,286,356,292,556,891,17,188,142,^3Xen_Crypt,^7serk
2019-01-18 kejim 4v4 1624.dm_26.dm_meta,1247540,0:16:13,34691,,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,0,0,1.741333008,52.76766586,510,471,25,773,1062,48,536,462,1,496,23,^3Insect_Glaive,^5THE EVERRAPING
"2019-05-19 ctf4 4v4 0538,1949.dm_26.dm_meta",641136,0:05:31,310806,1525767,MOD_ROCKET,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,5.081865311,153.9959259,586,438,101,642,1166,121,751,825,-14,521,121,^3Xen_Crypt,^74man
2019-05-26 kejim 4v4.dm_26.dm_meta,1275359,0:19:34,102407,1317335,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,0.8461077809,25.63962936,1042,628,251,514,502,264,522,924,-1,1948,1807,^3Xen_Crypt,^7Light Guardian
2019-06-08 dantooine 4v4 0451.dm_26.dm_meta,444485,0:04:47,158771,1373633,MOD_REPEATER_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,0,0,633,385,0,270,936,452,621,462,8,847,495,^3Xen_Crypt,^7R U T H L E S S
2019-06-09 kejim 4v4.dm_26.dm_meta,924078,0:12:29,176067,1391127,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,29.36679268,889.902832,459,565,23,523,1056,411,635,396,-1,286,86,^6X^7ennifer,^5ski
2019-06-29 corellia 4v4.dm_26.dm_meta,258439,0:01:16,183463,1398490,MOD_ROCKET,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,0,0,587,0,0,366,919,107,624,825,12,201,8,^3Xen_Crypt,
2019-07-25 ffa1 1v1.dm_26.dm_meta,1062905,0:15:09,154877,1386371,MOD_ROCKET,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,5.998688698,0.1817784458,19.54002762,592.1220703,242,201,299,202,271,119,580,198,-13,477,410,^3Xen_Crypt,^7Seef
2019-12-26 kothis 4v4.dm_26.dm_meta,642753,0:09:10,94095,1308330,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,10.51138592,0.04550383613,12.94487476,392.2689209,292,833,20,837,555,295,732,363,0,328,2,^3Xen_Crypt,^7Isaac Lobo
2020-01-05 carratos 4v4 1247.dm_26.dm_meta,1006017,0:12:42,244839,1459833,MOD_ROCKET,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,0,0,5.328054905,161.4562073,663,427,0,360,996,488,612,594,-5,332,88,^3Xen_Crypt,^5ski
2020-01-05 kejim 1v1.dm_26.dm_meta,1061812,0:17:42,6703,1216054,MOD_REPEATER_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,5.198440552,0.01969106309,7.372182369,223.3994598,742,559,129,580,149,65,451,429,0,3,0,^3Xen_Crypt,^7flower
2020-01-05 kejim 1v1.dm_26.dm_meta,1131343,0:18:51,6703,1216054,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,5.119773388,0.01939308085,12.91870022,391.475769,1047,672,340,673,112,256,588,462,-4,93,28,^3Xen_Crypt,^7flower
2020-01-11 kejim 4v4.dm_26.dm_meta,713373,0:07:18,276453,1491249,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,3.53733325,0.02679798007,9.377480507,284.1660767,330,637,97,622,828,296,528,297,0,722,4,^3Xen_Crypt,^7acid
2020-01-16 carratos 4v4.dm_26.dm_meta,722877,0:09:22,162207,1376343,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,1.315151095,0.00996326562,49.80653763,1509.289063,630,461,0,778,1055,266,707,462,-4,967,35,^3Xen_Crypt,^7PadaBOT
2020-01-25 ctf4 4v4 (2).dm_26.dm_meta,847551,0:11:49,139338,1375881,MOD_REPEATER_ALT,good,FALSE,2025-06-29 18:28:02,,,,,,,,,,,10.15083981,0.03845015168,19.28692245,584.4522095,887,280,0,328,409,98,359,660,14,51,0,^3Xen_Crypt,^7seeker
"2020-01-25 genarius 5v5 0414,1347.dm_26.dm_meta",1060075,0:13:40,180625,1456339,MOD_BRYAR_PISTOL_ALT,good,FALSE,2025-06-27 15:06:37,,,,,,,,,,,7.644938946,0.1158324108,49.96494675,1514.089355,382,1100,11,898,704,467,641,165,37,1197,284,^3Xen_Crypt,^7-=^1redasterisk^7=-
