_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,status_source,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,prob_nb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
3 Xen_Crypt mpctf_kejim 2024-06-29_20-16-05.dm_26.dm_meta,891404,0:10:59,52247,1447883,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.5066666667,0.6366666667,0.2448462701,0.2716096469,0.6129903197,-0.4208147519,0.5311946037,0.6,0.9930740068,0.8220962675,,0,0,18.89917374,572.7022095,294,253,113,262,706,47,390,165,22,888,521,^3Xen_Crypt,^7ez
3 Xen_Crypt mpctf_kejim 2024-07-14_23-48-08.dm_26.dm_meta,650702,0:08:56,115343,1329974,MOD_ROCKET,good,pre_good,FALSE,,,,,,,,,,,,11.88369942,0.05144458637,39.56635284,1198.980347,619,888,590,923,611,212,751,363,0,172,58,^3Xen_Crypt,^5legacy boon pugger
3 Xen_Crypt mpctf_kharzet 2021-02-21_05-04-08.dm_26.dm_meta,579191,0:07:26,133889,1349510,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.6166666667,0.5266666667,0.431887106,0.680187448,0.7737007737,-0.09691432547,0.4858473829,0.4,0.000428104385,0.9522725368,,1.167823911,0.03538860381,25.9477787,786.2963257,467,773,350,695,983,85,673,462,-2,605,61,^3Xen_Crypt,^7Padawan
3 Xen_Crypt mpctf_nelvaan 2016-03-26_13-25-07.dm_26.dm_meta,526626,0:07:40,67530,1283151,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.7333333333,0.7233333333,0.5371237993,0.8300775097,0.9019377232,0.04803815651,0.469990676,0.6,1,0.9771968365,,0,0,2.155631304,65.32215881,579,824,77,751,1019,159,727,627,-1,592,208,^3Xen_Crypt,^7spectator
4 xen ctf_dantooine_v3 2023-10-15_04-02-28.dm_26.dm_meta,1152962,0:17:43,90692,1361159,MOD_ROCKET,good,pre_good,TRUE,,,,,,,,,,,,24.67658615,0.2492584437,66.42997742,2013.029663,439,447,338,464,567,499,601,330,87,628,186,^7xen,^7Levi
4 xen mpctf_kejim 2023-09-02_22-51-39.dm_26.dm_meta,724028,0:09:59,125309,1339940,MOD_REPEATER_ALT_SPLASH,good,ml,FALSE,0.4577777778,0.5366666667,0.5032543511,0.4319474067,0.4723632336,-0.01465417334,0.4141848197,0.4,0.75588819,0.9435444819,,0,0,21.60493088,654.6948853,1129,288,42,419,399,352,465,,,235,87,^7xen,^4#^7include
4 xen mpctf_kejim 2023-10-15_04-46-11.dm_26.dm_meta,183752,0:02:06,58319,1272950,MOD_ROCKET,good,ml,FALSE,0.19,0.2733333333,0.1182968692,0.02055084169,0.00175718125,-0.7023321661,0.1830047518,0.6,1,0.6148238706,,0,0,0.1105477959,3.349933147,582,179,801,446,227,7,567,594,0,6,0,^7xen,^1j^7awa
4 Xen_Crypt ctf_dantooine_v3 2024-08-24_03-11-23.dm_26.dm_meta,93629,0:00:15,79505,1337234,MOD_ROCKET,good,ml,FALSE,0.3766666667,0.39,0.5009624238,0.2569716433,0.4568101764,-0.04245884819,0.3831232094,0.2,1.00E-19,0.6721394537,,0.3432238698,0.001300090458,4.184045792,126.7892685,579,449,0,388,955,11,635,660,-1,162,0,^3Xen_Crypt,^7r^4d^7l
4 Xen_Crypt ctf_emerido_v2 2023-02-23_23-41-07.dm_26.dm_meta,3149103,0:16:42,2147322,3361953,MOD_BRYAR_PISTOL_ALT,good,ml,TRUE,0.52,0.5133333333,0.217231627,0.8308655286,0.5864650011,-0.5911481837,0.5650942454,0.4,1.10E-77,2.35E-17,,16.88021469,0.5115216374,123.1427307,3731.5979,334,72,514,276,104,1151,484,132,72,422,341,^3Xen_Crypt,^7lg
4 Xen_Crypt ctf_kharzet_v3 2024-08-17_01-07-49.dm_26.dm_meta,380564,0:05:42,39047,1253678,MOD_ROCKET,good,pre_good,FALSE,,,,,,,,,,,,0,0,25.2955761,766.5325928,156,458,354,482,1055,80,543,264,9,626,64,^3Xen_Crypt,^7jawa(unimpaired)
4 Xen_Crypt ctf_kharzet_v3 2024-08-17_01-07-49.dm_26.dm_meta,397724,0:05:59,39047,1253678,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.5666666667,0.5466666667,0.6464339758,0.7278382,0.9774469137,0.2144305188,0.4869276174,0.6,0.9990128421,0.9577093768,,0,0,7.559146404,229.0650482,707,428,0,525,993,299,753,429,1,172,23,^3Xen_Crypt,^7jawa(unimpaired)
4 Xen_Crypt mpctf_aeten 2016-01-09_18-39-12.dm_26.dm_meta,1158506,0:17:07,131810,1347431,MOD_REPEATER_ALT_SPLASH,good,ml,FALSE,0.4166666667,0.33,0.6365151073,0.8455127026,0.8072190881,0.1779891899,0.4938574927,0.2,2.52E-08,0.9671292122,,0,0,0.0439453125,1.331676126,1236,425,0,449,417,24,697,,,47,0,^3Xen_Crypt,boo-shit
4 Xen_Crypt mpctf_illimiran 2021-12-05_01-14-50.dm_26.dm_meta,1038353,0:15:48,90329,1529129,MOD_REPEATER_ALT_SPLASH,good,ml,FALSE,0.5533333333,0.5466666667,0.6681380763,0.848778107,0.8835344911,0.2461368357,0.533156818,0.4,0.001066295691,0.9968046532,,5.734939575,0.05792868137,10.19891834,309.058136,1591,559,2,639,299,131,556,,,152,25,^3Xen_Crypt,^0Fl^2y^0nn
4 Xen_Crypt mpctf_kejim 2017-07-29_05-01-22.dm_26.dm_meta,1253513,0:19:30,83795,1299416,MOD_ROCKET,good,pre_good,FALSE,,,,,,,,,,,,0,0,0.7024809718,21.28730202,520,597,337,543,875,294,654,726,-36,488,214,^3Xen_Crypt,^7ariza
4 Xen_Crypt mpctf_krildor 2024-08-17_01-49-55.dm_26.dm_meta,992582,0:14:27,126398,1341029,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.5966666667,0.5733333333,0.7604899984,0.857683651,0.9976571798,0.4673254786,0.4483533874,1,1,0.8984809588,,0.5558691025,0.004211129621,30.91140747,936.7093506,885,463,0,636,179,330,541,396,-1,51,44,^3Xen_Crypt,^7jawa(unimpaired)
5 xenspec mpctf_telti 2021-04-22_22-01-52.dm_26.dm_meta,1383764,0:16:57,367100,1582721,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.69,0.5733333333,0.3522667156,0.6658636115,0.8186116219,-0.2126535937,0.5041317428,0.8,0.966028732,0.9494861075,,0,0,0.1087590978,3.295730352,478,481,164,389,807,49,613,363,0,301,23,^7xenspec,^7Seaal
5 Xen_Crypt ctf_ramodi_v2 2024-08-13_21-39-09.dm_26.dm_meta,597671,0:08:49,68780,1039805,MOD_ROCKET,good,ml,FALSE,0.2966666667,0.2466666667,0.1187650173,0.1396649829,0.5791004896,-0.7280105904,0.164453179,0,1.07E-11,0.157235577,,2.04853034,0.06207667664,92.50616455,2803.217041,384,172,183,308,729,73,333,330,-8,200,35,^3Xen_Crypt,^7jawa(impaired)
5 Xen_Crypt ctf_ramodi_v2 2024-08-13_21-39-09.dm_26.dm_meta,924503,0:14:16,68780,1039805,MOD_ROCKET,good,pre_good,FALSE,,,,,,,,,,,,4.201843262,0.01591607369,32.95228195,998.5540161,328,589,345,540,1222,238,612,462,21,746,237,^3Xen_Crypt,^7jawa(impaired)
5 Xen_Crypt mpctf_dantooine 2021-05-19_20-03-05.dm_26.dm_meta,1070330,0:16:06,104354,1348223,MOD_BRYAR_PISTOL_ALT,good,pre_good,FALSE,,,,,,,,,,,,3.717963219,0.1126655489,9.963068962,301.9111938,500,594,301,716,1299,246,843,528,-3,499,51,^3Xen_Crypt,^7lg
5 Xen_Crypt mpctf_kejim 2017-04-29_23-19-38.dm_26.dm_meta,941960,0:13:49,113000,1328621,MOD_ROCKET,good,ml,FALSE,0.3,0.2966666667,0.1276521141,0.3282166442,0.5130018592,-0.647115855,0.1964304557,0.2,0.0001195834556,0.5953848305,,1.06097734,0.03215082735,6.227942467,188.7255249,637,409,670,535,358,360,796,660,-46,26,0,^3Xen_Crypt,^7????
5 Xen_Crypt mpctf_kejim 2021-08-20_19-13-14.dm_26.dm_meta,729411,0:04:18,472275,1687896,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.5133333333,0.4766666667,0.4002896942,0.5734232708,0.7456512451,-0.1657476708,0.5503075865,0.4,0.002425226155,0.9225231712,,0,0,0,0,1135,0,0,175,695,200,473,693,12,36,13,^3Xen_Crypt,^7X's Holy Kitten
5 Xen_Crypt mpctf_kejim 2021-08-20_19-13-14.dm_26.dm_meta,991629,0:08:40,472275,1687896,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.5866666667,0.6366666667,0.5711672078,0.8059221519,0.7061872482,0.0844049895,0.4753983893,0.8,0.9999999973,0.9564589504,,0.7069981694,0.01071209367,1.873297811,56.76660156,443,454,0,756,967,316,507,297,1,537,19,^3Xen_Crypt,^7X's Holy Kitten
5 xen_crypt mpctf_kejim 2023-01-27_22-37-27.dm_26.dm_meta,1050068,0:16:12,78548,1293179,MOD_ROCKET,good,pre_good,FALSE,,,,,,,,,,,,0.9957789779,0.03017511964,4.976339817,150.798172,422,470,305,833,641,97,438,495,-11,40,0,^3xen_crypt,^7fk duo
5 Xen_Crypt mpctf_kejim 2024-07-20_03-45-10.dm_26.dm_meta,12175490,0:11:19,11497175,12711806,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.7766666667,0.6766666667,0.507616897,0.9620463451,0.9871848226,-0.004807339866,0.4316095179,0.8,1,0.9531100007,,0,0,12.64684582,383.2377625,503,923,13,863,812,295,410,594,0,758,46,^3Xen_Crypt,^5boon pug revival
6 crypt@mp3 ctf_dantooine_v3 2023-10-27_22-21-17.dm_26.dm_meta,805604,0:10:41,102902,1380200,MOD_ROCKET,good,pre_good,FALSE,,,,,,,,,,,,0.5020763874,0.01521443576,97.38656616,2951.108154,1152,485,103,484,109,36,401,891,-5,1,0,^3crypt@mp3,^7hide the pain harold
6 xen mpctf_ramodi 2023-02-25_23-46-19.dm_26.dm_meta,1431713,0:21:17,154811,2029706,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.6266666667,0.5566666667,0.507017845,0.5218897235,0.8099454045,0.03255825246,0.4619084398,0.4,0.6059967808,0.9633408143,,2.472906351,0.03746827692,8.793258667,266.4623718,492,629,92,507,770,241,647,429,-1,651,47,^7xen,^7Seaal
6 xencrypt mpctf_kejim 2021-12-12_18-43-03.dm_26.dm_meta,9813997,0:03:42,9592864,10808485,MOD_ROCKET,good,pre_good,FALSE,,,,,,,,,,,,0,0,8.341094017,252.7604218,257,447,97,419,906,283,695,198,12,521,258,^7xencrypt,^7enab(tired)
6 Xen_Crypt mpctf_bilios 2021-05-09_04-44-08.dm_26.dm_meta,960341,0:15:10,51224,1266845,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.67,0.5466666667,0.6268372334,0.7825561626,0.9634179473,0.2032122627,0.4864987096,0.2,0.977078402,0.8814970023,,0,0,7.936179161,240.4902802,459,494,255,668,1065,232,640,363,2,1379,309,^3Xen_Crypt,^1MR KILL
6 Xen_Crypt mpctf_illimiran 2020-08-28_20-11-41.dm_26.dm_meta,1604637,0:19:22,442575,1658196,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.6666666667,0.6233333333,0.4272409184,0.6903292868,0.8211075664,-0.1091463635,0.5338039651,0.6,0.9999913244,0.920403059,,0,0,0,0,458,359,381,580,779,99,476,198,12,415,117,^3Xen_Crypt,^7csr@o
6 Xen_Crypt mpctf_korriban24 2016-03-05_22-50-22.dm_26.dm_meta,2291664,0:15:48,1343640,2559261,MOD_BRYAR_PISTOL_ALT,good,ml,FALSE,0.6666666667,0.5433333333,0.5127916511,0.6835660246,0.9884976149,-0.007433613047,0.4901340458,0.4,0.9999999827,0.9503014595,,0,0,1.777350545,53.85910797,746,319,0,307,1028,344,569,363,-1,450,163,^3Xen_Crypt,^0*^3rS^0! G^3ra^0b^7
