_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
Refresh1-PUG_2011_ctf_paulking.dm_26.dm_meta,1215736,0:16:10,246691,,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.11,0.1466666667,0.01009881498,0.001729721772,0.002816114808,-1.25660839,0.08972315612,0,1.00E+00,1.33E-56,18.77614594,0.1896580458,53.76256561,1629.168701,327,446,92,462,464,0,333,,,23,0,^3Xen_Crypt,^0C^2y^7donis
2020-05-20 ctf4 4v4.dm_26.dm_meta,255787,0:04:16,9904,,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.2166666667,0.19,0.193448127,0.4773083092,0.1406868994,-0.4479322062,0.2610130856,0.4,1,2.49E-06,5.542722225,0.1679612845,26.5905304,805.7736816,167,0,0,176,90,0,645,,,0,0,^3Xen_Crypt,^7CYD BASE ONLY (or sertao
2020-05-17 paulking 4v4.dm_26.dm_meta,162533,0:01:29,74489,1289351,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.06,0.05333333333,0.0002738792157,0.00254665505,0.002411739202,-2.134313339,0.03058240814,0.2,0.9999133513,4.63E-233,37.89250946,0.1640368402,49.13382721,1488.903809,138,0,0,292,285,0,340,,,9,0,^3Xen_Crypt,^7notspectator
2018-06-14 kharzet 3v3.dm_26.dm_meta,2272095,0:11:48,1564938,2503425,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.2133333333,0.1333333333,0.1336379339,0.05543332568,0.1490461081,-0.5847347993,0.2165819149,0.4,1,0.001198311926,4.155744553,0.1259316504,8.977660179,272.0503235,538,24,0,160,252,16,342,,,473,388,^3Xen_Crypt,^7nero
2018-06-08 kejim 3v3.dm_26.dm_meta,1049305,0:17:29,4690,,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.1733333333,0.1166666667,0.09468289625,0.03708798207,0.04067716375,-0.777768485,0.2008555514,0.2,3.53E-22,7.58E-04,3.708634377,0.112382859,11.34466171,343.7776184,494,0,0,0,0,0,374,,,0,0,^3Xen_Crypt,^7Difficulter
1419_snipe_ctf4.dm_26.dm_meta,41897400,0:01:36,41819950,43017350,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.07,0.05,0.004147476618,0.009244113053,0.009243221022,-1.505603286,0.07040914396,0,4.90E-10,8.38E-85,22.90690613,0.02181610093,42.08158875,1275.199707,591,0,0,0,0,0,356,,,0,0,^3Xen_Crypt,^2Bad^8 Bird
2020-05-08 ctf3 5v6.dm_26.dm_meta,330235,0:05:30,7726,1216087,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.08666666667,0.1333333333,0.00693937823,0.003205265456,0.008282059804,-1.320680342,0.08334627667,0.2,1,5.76E-75,21.62163544,0.02184003592,25.30584526,766.843811,1125,0,0,400,262,279,323,,,62,43,^3Xen_Crypt,Padawan
2020-02-28 telti 4v4.dm_26.dm_meta,641825,0:08:47,116630,1330898,MOD_DISRUPTOR_SNIPER,bad,FALSE,0.12,0.1033333333,0.005694953842,0.002282744837,0.002431640401,-1.409647388,0.0827133922,0,0.9999999998,1.06E-62,19.68205452,0.07455323637,48.08155823,1457.016968,174,0,0,356,0,0,14,,,0,0,^3Xen_Crypt,^7LEVI BASE ONLY
