_source_file,time_raw,human_time,map_start_time_raw,map_end_time_raw,mod_name,consensus,extreme_99th,prob_rf,prob_et,prob_lr,prob_gb,prob_xgb,prob_lsvc,prob_csvc,prob_knn,prob_mlp,prob_gnb,view_delta_deg,view_speed_deg_per_ms,view_best_delta_deg,view_best_speed_deg_per_sec,attacker_target_distance,attacker_xy_speed,attacker_z_speed,attacker_distance_last_second,target_xy_speed,target_z_speed,target_distance_last_second,missile_lifetime,missile_pitch,target_corpse_travel_distance,target_corpse_travel_z_distance,attacker_name,target_name
4 Yukino Yukinoshita mpctf_kothis 2021-04-21_19-42-33.dm_26.dm_meta,727196,0:09:50,137915,1353536,MOD_ROCKET,good,FALSE,0.2033333333,0.2733333333,0.3061706312,0.1935828819,0.1221186146,-0.3305653744,0.2650467976,0,0.9999998694,0.5116246786,0,0,9.151106834,277.3062744,488,330,0,358,668,109,374,495,18,75,33,^6Yukino Yukinoshita,^7lg pickable if needed
5 Camel_Riders mpctf_talravin 2024-06-01_23-57-22.dm_26.dm_meta,486560,0:01:05,421715,1094981,MOD_BLASTER,good,FALSE,0.8233333333,0.76,0.9248129233,0.9998962851,0.8693188429,0.6659022678,0.6873298147,0.4,0.9777807423,0.8909835756,0,0,26.13655472,792.0167847,274,376,0,458,164,94,338,,,90,69,^3Camel_Riders,^7r^4d^7l
5 xen mpctf_kejim 2023-12-18_23-46-05.dm_26.dm_meta,295919,0:03:21,95279,1430360,MOD_ROCKET,good,FALSE,0.7433333333,0.8133333333,0.464560421,0.7128912528,0.9334042668,-0.1048542087,0.3698278106,1,1,0.6287403611,0.2574765086,0.002600772772,3.748777628,113.5993195,455,479,0,464,992,837,696,627,-23,410,188,^7xen,^7The Play Guy
5 xencrypt mpctf_telti 2022-01-09_20-10-14.dm_26.dm_meta,361659,0:00:44,317604,2108382,MOD_ROCKET,good,FALSE,0.41,0.4333333333,0.4646974864,0.3653348786,0.09711115062,-0.1069751717,0.3572260446,0,2.11E-13,0.5788858038,0.1327483058,0.002011338016,0.1327483058,4.022675991,388,418,0,322,901,194,660,297,11,178,58,^7xencrypt,^7L^1S
5 xencrypt mpctf_telti 2022-01-09_20-10-14.dm_26.dm_meta,1272195,0:15:55,317604,2108382,MOD_BLASTER,good,FALSE,0.96,0.97,0.9999931514,0.9999849945,0.9891169667,4.175673676,0.8472983649,1,1,1,1.071955442,0.01082783286,10.75874329,326.022522,401,426,0,282,401,81,374,,,249,127,^7xencrypt,^7csr(base)
5 Xen_Crypt ctf_dantooine_v3 2024-06-23_22-09-13.dm_26.dm_meta,150950,0:01:38,53765,1268396,MOD_REPEATER,good,FALSE,,,,,,,,,,,0,0,17.90798569,542.6662598,261,210,34,314,372,126,381,132,22,606,478,^3Xen_Crypt,^7+1 @pugCTF
5 Xen_Crypt ctf_ramodi_v2 2024-08-13_21-39-09.dm_26.dm_meta,924503,0:14:16,68780,1039805,MOD_ROCKET,good,FALSE,0.4633333333,0.4233333333,0.4229430455,0.4215983285,0.1873554289,-0.1865355576,0.3338224342,0.6,1,0.6321092899,4.201843262,0.01591607369,32.95228195,998.5540161,328,589,345,540,1222,238,612,462,21,746,237,^3Xen_Crypt,^7jawa(impaired)
5 Xen_Crypt mpctf_carratos 2024-04-07_21-10-35.dm_26.dm_meta,1082705,0:16:15,108215,1322846,MOD_REPEATER,good,FALSE,,,,,,,,,,,19.62186813,0.09910034388,22.90693665,694.1495972,559,196,0,12,32,314,159,297,69,56,47,^3Xen_Crypt,^7ez
5 Xen_Crypt mpctf_dantooine 2021-02-10_04-52-29.dm_26.dm_meta,653874,0:06:54,240747,1456368,MOD_BLASTER,good,FALSE,0.98,0.9666666667,0.9994939733,0.9999866549,0.9732720256,2.770506178,0.7919575351,0.8,0.9999999924,0.9999959233,7.753005028,0.07831317931,22.33934784,676.9499512,137,461,0,295,353,82,320,,,160,79,^3Xen_Crypt,^0Fl^5y^0nn
5 Xen_Crypt mpctf_dantooine 2021-05-19_20-03-05.dm_26.dm_meta,1070330,0:16:06,104354,1348223,MOD_BRYAR_PISTOL_ALT,good,FALSE,0.63,0.5766666667,0.3885816011,0.6570000127,0.9400267601,-0.1936042356,0.510614728,0.2,7.81E-08,0.9031250772,3.717963219,0.1126655489,9.963068962,301.9111938,500,594,301,716,1299,246,843,528,-3,499,51,^3Xen_Crypt,^7lg
5 Xen_Crypt mpctf_kejim 2017-09-10_10-57-44.dm_26.dm_meta,10010792,0:15:36,9075605,10291226,MOD_REPEATER,good,FALSE,,,,,,,,,,,1.080911756,0.004679271486,19.29989052,584.8451538,410,410,171,427,186,293,518,330,-4,147,20,^3Xen_Crypt,^7gengszter99
5 Xen_Crypt mpctf_kejim 2021-08-20_19-13-14.dm_26.dm_meta,729411,0:04:18,472275,1687896,MOD_BRYAR_PISTOL_ALT,good,FALSE,0.5166666667,0.5266666667,0.4034502534,0.7949022693,0.3811182678,-0.1552841982,0.5432054366,0.4,6.22E-05,0.928658656,0,0,0,0,1135,0,0,175,695,200,473,693,12,36,13,^3Xen_Crypt,^7X's Holy Kitten
5 xen_crypt mpctf_kejim 2023-01-27_22-37-27.dm_26.dm_meta,1050068,0:16:12,78548,1293179,MOD_ROCKET,good,FALSE,0.1933333333,0.1833333333,0.1228088725,0.1010354223,0.01321426965,-0.7030158707,0.1665915476,0,3.88E-14,0.5357303908,0.9957789779,0.03017511964,4.976339817,150.798172,422,470,305,833,641,97,438,495,-11,40,0,^3xen_crypt,^7fk duo
5 Xen_Crypt mpctf_krildor 2021-04-23_20-42-08.dm_26.dm_meta,1100331,0:11:26,415185,1630806,MOD_ROCKET,good,FALSE,0.1133333333,0.1633333333,0.26837187,0.01218549062,0.0005008581211,-0.4140792479,0.2413046315,0,2.42E-17,0.602631859,1.644007683,0.04981841519,1.984272003,60.12945557,161,354,47,704,899,221,614,264,8,253,58,^3Xen_Crypt,^7tier set ziost F
6 crypt@mp3 ctf_dantooine_v3 2023-10-27_22-21-17.dm_26.dm_meta,805604,0:10:41,102902,1380200,MOD_ROCKET,good,FALSE,0.3665,0.345,0.3776969742,0.683751914,0.1744128168,-0.1416730107,0.3240422523,0.2,0.04962556509,0.9478155094,0.5020763874,0.01521443576,97.38656616,2951.108154,1152,485,103,484,109,36,401,891,-5,1,0,^3crypt@mp3,^7hide the pain harold
6 crypt@mp3 mpctf_dosuun 2023-10-27_23-13-49.dm_26.dm_meta,489171,0:06:10,119901,649452,MOD_ROCKET,good,FALSE,0.22,0.2333333333,0.2885361032,0.03686215574,0.0006290213787,-0.3868926904,0.2515077402,0.2,2.50E-08,0.603170779,5.340723038,0.023120014,26.1677494,792.9620972,236,490,142,709,877,289,524,495,13,123,49,^3crypt@mp3,^7unspec
6 xencrypt mpctf_illimiran 2023-01-14_20-01-00.dm_26.dm_meta,1101911,0:17:37,45317,1259948,MOD_BRYAR_PISTOL_ALT,good,FALSE,0.57,0.5233333333,0.5137086472,0.5291166694,0.7936747074,0.03218731844,0.5111247832,0.6,0.9999238313,0.9250809996,1.539066553,0.009327676147,2.926165581,88.67168427,740,150,0,550,715,27,522,330,-5,46,0,^7xencrypt,^7/^1/^7Grab^1y
6 xencrypt mpctf_kejim 2021-12-12_18-43-03.dm_26.dm_meta,9813997,0:03:42,9592864,10808485,MOD_ROCKET,good,FALSE,0.46,0.4066666667,0.3419571113,0.6077003734,0.9763126373,-0.2876385665,0.295935008,0.4,0.9242819599,0.5417912844,0,0,8.341094017,252.7604218,257,447,97,419,906,283,695,198,12,521,258,^7xencrypt,^7enab(tired)
6 xenplayingifneeded mpctf_kharzet 2021-04-15_21-28-21.dm_26.dm_meta,956220,0:11:42,254178,1469799,MOD_THERMAL,good,FALSE,0.35,0.275,0.7306929059,0.8631781273,0.3416363299,0.4073485668,0.2317505731,0.6,1.43E-11,0.9906929581,4.746099949,0.02876424231,11.67325306,353.7349548,455,245,0,210,446,10,216,594,61,131,27,^7xenplayingifneeded,^7leonardo2
6 xenspec mpctf_kejim 2021-06-01_19-13-25.dm_26.dm_meta,270146,0:01:17,193124,1772768,MOD_ROCKET,good,FALSE,0.5933333333,0.45,0.4384018445,0.8007924301,0.9899716377,-0.1391217168,0.3442610425,0.4,0.9999909737,0.4664181154,0,0,46.39480591,1405.903198,280,67,92,250,1082,292,753,264,3,888,240,^7xenspec,^7fim
6 Xen_Crypt mpctf_dantooine 2021-06-01_18-38-56.dm_26.dm_meta,1054358,0:12:15,320240,1535861,MOD_ROCKET,good,FALSE,0.08333333333,0.06,0.07747926589,0.01032490843,0.0004607372102,-0.8773999187,0.1323835231,0,1.27E-08,0.5031505363,0,0,0,0,163,361,72,745,636,117,442,594,-19,39,9,^3Xen_Crypt,^3I^1n^0glorious
6 Xen_Crypt mpctf_illimiran 2020-08-28_20-11-41.dm_26.dm_meta,1493229,0:17:31,442575,1658196,MOD_THERMAL,good,FALSE,0.5333333333,0.5866666667,0.2702129886,0.826270208,0.4555585086,-0.4522057868,0.2190617465,0.6,1,0.9872210425,0,0,0.8738965988,26.48171616,244,340,0,595,528,148,683,396,-7,31,7,^3Xen_Crypt,^7IT expert
6 Xen_Crypt mpctf_illimiran 2020-08-28_20-11-41.dm_26.dm_meta,1604637,0:19:22,442575,1658196,MOD_BRYAR_PISTOL_ALT,good,FALSE,0.6933333333,0.57,0.410480823,0.7032078958,0.8619054556,-0.1319575537,0.5237045987,0.6,0.9999997964,0.9167154596,0,0,0,0,458,359,381,580,779,99,476,198,12,415,117,^3Xen_Crypt,^7csr@o
6 Xen_Crypt mpctf_kejim 2016-01-30_19-35-24.dm_26.dm_meta,330577,0:03:06,144952,1609162,MOD_REPEATER_ALT,good,FALSE,0.5266666667,0.5,0.8899839827,0.7489529478,0.6974058151,0.7742189755,0.7172898777,0.4,1,0.9983145601,3.852917194,0.01167550683,4.334465027,131.3474274,1100,431,0,663,199,87,406,627,6,8,0,^3Xen_Crypt,Seeker
6 Xen_Crypt mpctf_telti 2024-08-30_02-06-59.dm_26.dm_meta,1041785,0:09:01,503291,1163126,MOD_BLASTER,good,FALSE,0.8066666667,0.8866666667,0.9696342009,0.9999657455,0.9527112246,1.365964929,0.6707624373,1,1,0.9994392042,0,0,1.439502478,43.6212883,329,449,103,443,651,643,626,,,93,44,^3Xen_Crypt,^7?fuck dosuun
7 COP(good) ctf_dantooine_v3 2024-07-23_23-10-13.dm_26.dm_meta,996641,0:12:26,251270,1465901,MOD_BLASTER,good,FALSE,0.93,0.95,0.999997384,0.9999701438,0.9215469956,4.541054194,0.8634802394,0.8,1,1,10.0122366,0.05056685209,23.50003815,712.1223755,245,554,174,516,868,392,694,,,305,119,^1COP^2(good),^1Teutonic ^7Crusader
